Pos,Name,BV,SV,Team,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,31,2.315,0,0,74,3.051,63,2.408
M,Aubameyang,11.3,11.3,Arsenal,69,9.261,0,0,53,3.789,60,4.037
D,Cédric,4.6,4.6,Arsenal,12,0.906,0,0,4,0.167,7,0.272
F,Lacazette,8.4,8.4,Arsenal,32,3.924,0,0,57,3.516,59,3.464
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,45,3.771,0,0,13,0.569,45,1.913
M,Xhaka,5.2,5.2,Arsenal,73,4.433,0,0,70,2.175,71,2.138
D,Marí,4.4,4.4,Arsenal,29,2.055,0,0,17,0.668,23,0.839
D,Bellerín,5.0,5.0,Arsenal,36,2.749,0,0,37,1.564,34,1.332
G,Martínez,5.4,5.4,Aston Villa,89,6.86,88,3.716,89,3.201,88,3.191
D,Chambers,4.5,4.5,Arsenal,48,3.737,0,0,47,2.036,48,1.929
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,0,0,77,1.565,74,2.34,76,1.948
D,Holding,4.3,4.2,Arsenal,69,4.902,0,0,65,2.589,40,1.486
D,Tierney,5.2,5.2,Arsenal,52,4.201,0,0,80,3.631,78,3.279
M,Pépé,7.6,7.6,Arsenal,49,5.443,0,0,48,2.789,47,2.601
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,39,1.365,42,1.4,41,1.903,38,1.455
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,0,0,0,0
F,Nketiah,5.3,5.3,Arsenal,16,1.847,0,0,9,0.545,10,0.581
M,Smith Rowe,4.2,4.2,Arsenal,44,4.029,0,0,20,0.962,43,1.941
M,Saka,5.1,5.1,Arsenal,66,5.784,0,0,54,2.509,64,2.817
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,64,6.694,0,0,41,2.31,61,3.214
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,1,0.076,1,0.042,0,0,1,0.036
D,El Mohamady,4.2,4.2,Aston Villa,12,0.767,12,0.485,15,0.398,17,0.455
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,1,0.054,2,0.067,2,0.046,3,0.07
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,0,0,0,0,1,0.026
M,Grealish,7.5,7.5,Aston Villa,13,1.333,39,2.076,60,2.618,69,2.842
M,McGinn,5.5,5.5,Aston Villa,85,5.646,82,2.854,81,2.496,79,2.4
D,Hause,4.4,4.4,Aston Villa,5,0.293,10,0.369,13,0.318,13,0.324
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,87,4.85,85,3.068,82,1.849,83,1.915
D,Targett,5.0,5.0,Aston Villa,80,4.899,78,3.049,77,1.904,76,1.909
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,20,1.26,14,0.469,14,0.435,14,0.431
M,El Ghazi,5.2,5.2,Aston Villa,66,6.949,64,3.64,63,2.982,59,2.676
D,Konsa,4.7,4.7,Aston Villa,86,4.873,83,2.978,85,1.911,86,1.978
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,14,1.407,12,0.633,13,0.61,14,0.629
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,16,1.479,14,0.664,13,0.558,13,0.54
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,79,4.415,75,2.335,72,2.016,72,1.992
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,7,0.288,31,1.28,47,1.582,63,2.238
M,Stephens,4.2,4.2,Burnley,2,0.067,3,0.101,3,0.094,3,0.106
G,Button,3.9,3.9,West Brom,1,0.035,1,0.035,1,0.038,1,0.036
M,Groß,5.8,5.8,Brighton,73,3.329,69,3.275,70,2.564,69,2.842
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,8,0.285,9,0.322,6,0.194,7,0.236
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,46,1.958,46,1.922,47,1.155,46,1.491
D,Dunk,4.9,4.9,Brighton,83,3.389,70,2.777,73,1.624,72,2.173
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,0,0,6,0.329,14,0.605,19,0.903
M,March,4.9,4.9,Brighton,0,0,0,0,0,0,0,0
D,Webster,4.3,4.3,Brighton,85,3.325,84,3.193,81,1.817,81,2.411
D,Veltman,4.4,4.4,Brighton,80,3.447,77,3.233,77,1.859,79,2.538
F,Maupay,5.9,6.0,Brighton,73,3.857,70,3.881,70,2.911,69,3.313
M,Trossard,5.7,5.7,Brighton,73,3.333,70,3.286,71,2.598,69,2.839
G,Ryan,4.1,4.1,Arsenal,24,1.981,0,0,18,0.777,26,1.086
M,Jahanbakhsh,5.4,5.4,Brighton,22,0.953,20,0.895,20,0.74,19,0.766
M,Izquierdo,5.5,5.5,Brighton,1,0.046,2,0.095,1,0.039,2,0.085
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,78,2.942,76,2.778,76,1.645,74,2.128
D,Bernardo,3.9,3.9,Brighton,0,0,0,0,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,83,2.492,78,2.428,74,1.97,75,2.141
D,Lamptey,4.6,4.6,Brighton,0,0,0,0,0,0,0,0
F,Connolly,5.2,5.2,Brighton,14,0.706,14,0.723,12,0.507,12,0.558
M,Alzate,4.2,4.2,Brighton,2,0.073,3,0.11,3,0.098,2,0.069
M,Mac Allister,5.3,5.3,Brighton,38,1.623,38,1.66,39,1.389,32,1.263
D,Tarkowski,5.3,5.3,Burnley,87,2.634,84,2.31,84,1.572,82,3.263
D,Bardsley,4.4,4.4,Burnley,0,0,0,0,1,0.019,0,0
D,Pieters,4.3,4.3,Burnley,16,0.493,20,0.569,23,0.459,24,0.966
M,Cork,5.0,5.0,Burnley,46,1.441,50,1.565,50,1.444,52,1.732
D,Long,4.3,4.3,Burnley,0,0,0,0,0,0,0,0
F,Rodriguez,5.7,5.7,Burnley,22,0.994,21,1.003,24,0.967,24,1.173
F,Barnes,6.0,6.0,Burnley,48,2.321,51,2.621,48,2.007,49,2.63
D,Mee,4.8,4.8,Burnley,87,2.656,85,2.332,83,1.551,81,3.248
M,Westwood,5.3,5.3,Burnley,82,2.57,80,2.531,78,2.201,77,2.653
M,Gudmundsson,5.4,5.4,Burnley,55,2.129,56,2.215,56,1.914,55,2.335
F,Wood,6.4,6.4,Burnley,74,3.999,74,4.274,76,3.398,75,4.509
D,Lowton,4.4,4.4,Burnley,84,2.642,82,2.362,83,1.632,81,3.38
F,Vydra,4.8,4.8,Burnley,53,2.62,52,2.737,53,2.253,53,2.897
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0,0,0,0,0
G,Pope,5.5,5.5,Burnley,88,3.542,87,3.386,88,3.203,88,3.979
D,Taylor,4.4,4.4,Burnley,78,2.443,75,2.111,76,1.478,75,3.068
M,Brownhill,4.9,4.9,Burnley,76,2.608,73,2.55,73,2.228,73,2.734
G,Peacock-Farrell,4.0,4.0,Burnley,0,0,0,0,0,0,0,0
M,McNeil,5.7,5.7,Burnley,83,2.968,82,3,80,2.53,79,3.139
G,Caballero,4.6,4.6,Chelsea,0,0,0,0,0,0,0,0
D,Azpilicueta,5.9,5.9,Chelsea,59,4.49,0,0,53,2.427,59,2.795
F,Giroud,6.7,6.7,Chelsea,5,0.557,0,0,5,0.318,5,0.334
D,Alonso,5.7,5.7,Chelsea,38,3.408,0,0,21,1.147,21,1.199
M,Jorginho,4.7,4.7,Chelsea,35,2.591,0,0,60,2.364,30,1.261
M,Barkley,5.8,5.8,Aston Villa,60,5.456,51,2.504,41,1.742,40,1.643
M,Kovacic,5.3,5.3,Chelsea,20,1.408,0,0,49,1.798,59,2.192
F,Batshuayi,5.7,5.7,Crystal Palace,3,0.311,4,0.202,4,0.187,5,0.206
D,Rüdiger,4.7,4.7,Chelsea,69,4.754,0,0,77,3.199,77,3.299
D,Zouma,5.3,5.3,Chelsea,51,3.751,0,0,51,2.237,46,2.085
D,Emerson,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0
G,Arrizabalaga,4.7,4.7,Chelsea,0,0,0,0,1,0.043,0,0
M,Kanté,4.9,4.9,Chelsea,46,2.916,0,0,33,1.134,42,1.464
M,Ziyech,7.9,7.9,Chelsea,33,2.973,0,0,30,1.523,30,1.597
M,Loftus-Cheek,5.9,5.9,Fulham,66,2.959,62,2.559,62,2.196,63,2.897
D,Christensen,4.7,4.7,Chelsea,68,4.592,0,0,67,2.721,63,2.626
F,Werner,9.2,9.2,Chelsea,68,7.072,0,0,65,3.899,62,3.955
F,Abraham,7.1,7.1,Chelsea,12,1.364,0,0,14,0.895,13,0.876
M,Pulisic,8.3,8.3,Chelsea,56,5.44,0,0,46,2.562,55,3.193
M,Mount,7.3,7.3,Chelsea,73,6.579,0,0,64,3.32,71,3.858
D,Tomori,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,15,1.366,0,0,10,0.506,16,0.843
D,James,5.1,5.1,Chelsea,56,4.804,0,0,57,2.961,59,3.19
M,Gilmour,4.3,4.3,Chelsea,2,0.138,0,0,1,0.036,3,0.112
D,Cahill,4.5,4.5,Crystal Palace,55,3.94,43,1.443,38,1.09,36,0.65
G,Hennessey,4.3,4.3,Crystal Palace,0,0,0,0,0,0,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0,3,0.095,1,0.027,3,0.054
G,Guaita,4.8,4.8,Crystal Palace,88,7.169,86,3.4,87,3.241,86,2.98
D,Tomkins,4.4,4.4,Crystal Palace,7,0.498,44,1.469,58,1.622,60,0.998
M,McArthur,5.2,5.2,Crystal Palace,0,0,0,0,0,0,0,0
M,McCarthy,4.3,4.3,Crystal Palace,27,1.758,32,1.019,32,0.978,33,0.928
F,Benteke,5.5,5.5,Crystal Palace,65,6.505,63,3.054,64,2.847,64,2.374
M,Kouyaté,4.8,4.8,Crystal Palace,77,4.761,68,2.1,67,1.977,65,1.757
D,Ward,4.3,4.3,Crystal Palace,76,5.197,74,2.367,70,1.899,71,1.175
D,Kelly,4.1,4.1,Crystal Palace,0,0,0,0,0,0,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0,0,0,1,0.047,0,0
M,Townsend,5.5,5.5,Crystal Palace,44,3.972,44,1.915,44,1.792,42,1.486
M,Milivojevic,5.6,5.6,Crystal Palace,80,5.623,77,2.643,75,2.421,76,2.119
D,van Aanholt,5.4,5.4,Crystal Palace,59,4.94,57,2.24,57,1.886,57,1.191
F,Ayew,5.6,5.6,Crystal Palace,52,4.538,49,2.087,53,2.082,52,1.792
M,Zaha,7.2,7.2,Crystal Palace,78,7.502,77,3.559,78,3.285,78,2.731
M,Schlupp,5.3,5.3,Crystal Palace,41,3.4,39,1.579,44,1.666,41,1.371
M,Meyer,4.7,4.7,Crystal Palace,0,0,0,0,0,0,0,0
M,Riedewald,4.4,4.4,Crystal Palace,53,3.533,53,1.721,51,1.586,50,1.423
D,Ferguson,3.8,3.8,Crystal Palace,2,0.137,18,0.572,32,0.863,28,0.465
D,Mitchell,3.8,3.8,Crystal Palace,49,3.319,69,2.18,70,1.873,69,1.124
M,Pierrick,4.3,4.3,Crystal Palace,0,0,0,0,0,0,0,0
M,Walcott,5.8,5.8,Southampton,65,5.425,62,2.869,61,2.887,62,2.659
M,Delph,4.8,4.8,Everton,20,1.21,22,0.769,20,0.645,18,0.502
M,Sigurdsson,6.9,6.9,Everton,69,6.528,68,4.216,69,3.661,67,2.506
G,Lössl,4.3,4.3,Everton,0,0,0,0,0,0,0,0
D,Coleman,4.9,4.9,Everton,71,4.821,59,3.377,68,3.15,67,1.32
F,Tosun,6.0,6.0,Everton,0,0,0,0,0,0,0,0
M,Bernard,5.7,5.7,Everton,17,1.376,16,0.807,15,0.667,16,0.558
D,Digne,6.1,6.1,Everton,82,5.96,80,4.878,80,3.942,80,1.673
D,Keane,5.0,5.0,Everton,60,3.875,60,3.199,61,2.663,60,1.146
G,Pickford,4.8,4.8,Everton,87,6.81,85,4.188,87,3.873,86,3.031
M,André Gomes,5.3,5.3,Everton,55,3.266,52,1.902,55,1.797,47,1.269
M,Iwobi,5.9,5.9,Everton,42,3.291,42,2.029,40,1.714,41,1.378
D,Kenny,4.3,4.3,Everton,0,0,0,0,0,0,0,0
M,Gbamin,5.0,5.0,Everton,0,0,0,0,0,0,0,0
D,Mina,5.5,5.5,Everton,20,1.258,24,1.258,23,0.984,25,0.47
M,Davies,5.2,5.2,Everton,31,2.015,30,1.188,33,1.166,29,0.843
F,Calvert-Lewin,7.5,7.5,Everton,77,7.804,77,5.075,77,4.324,76,2.984
D,Holgate,4.8,4.8,Everton,76,4.55,74,3.795,75,3.121,74,1.276
F,Richarlison,7.8,7.8,Everton,77,7.174,74,4.416,76,3.871,75,2.722
G,Virgínia,4.3,4.3,Everton,0,0,0,0,0,0,0,0
M,Gordon,4.3,4.3,Everton,0,0,0,0,0,0,0,0
F,Kean,5.7,5.7,Everton,0,0,0,0,0,0,0,0
D,Branthwaite,3.9,3.9,Everton,0,0,0,0,0,0,0,0
G,Fabri,3.9,3.9,Fulham,0,0,0,0,0,0,0,0
M,McDonald,4.7,4.7,Fulham,0,0,0,0,0,0,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0,0,0,0,0,0,0
M,Johansen,4.7,4.7,Fulham,0,0,0,0,0,0,0,0
M,Cairney,5.2,5.2,Fulham,0,0,0,0,0,0,0,0
D,Ream,4.2,4.2,Fulham,0,0,0,0,1,0.023,0,0
M,Knockaert,5.0,5.0,Fulham,0,0,0,0,0,0,0,0
D,Hector,4.1,4.1,Fulham,0,0,0,0,0,0,0,0
D,Christie,4.2,4.2,Fulham,0,0,0,0,0,0,0,0
M,Kebano,4.7,4.7,Fulham,0,0,0,0,0,0,0,0
F,Decordova-Reid,5.3,5.3,Fulham,62,2.767,61,2.553,61,2.183,60,2.728
D,Bryan,4.5,4.5,Fulham,2,0.085,3,0.109,3,0.078,3,0.136
G,Bettinelli,4.3,4.3,Fulham,0,0,0,0,0,0,0,0
F,Mitrović,5.5,5.5,Fulham,30,1.816,33,1.793,34,1.51,31,1.907
D,Mawson,4.3,4.3,Fulham,0,0,0,0,0,0,0,0
G,Rodák,4.3,4.3,Fulham,0,0,0,0,0,0,0,0
M,Cavaleiro,5.3,5.3,Fulham,63,3.393,62,3.055,62,2.497,62,3.456
M,Onomah,4.6,4.6,Fulham,8,0.335,9,0.348,10,0.349,13,0.548
M,Seri,4.6,4.6,Fulham,0,0,0,0,0,0,0,0
M,Kamara,4.8,4.8,Fulham,0,0,0,0,0,0,0,0
M,Anguissa,4.4,4.4,Fulham,57,2.041,55,1.834,55,1.651,54,1.975
D,Sessegnon,4.3,4.3,Fulham,0,0,0,0,0,0,0,0
M,Hernández,5.7,5.7,Leeds,8,0.343,7,0.338,8,0.375,7,0.362
G,Casilla,4.1,4.1,Leeds,0,0,0,0,0,0,0,0
D,Cooper,4.3,4.3,Leeds,64,1.67,62,2.25,60,1.897,63,2.608
D,Douglas,3.8,3.8,Leeds,0,0,0,0,0,0,0,0
D,Ayling,4.4,4.4,Leeds,85,2.275,82,3.052,82,2.66,80,3.42
M,Klich,5.2,5.2,Leeds,43,1.645,39,1.697,41,1.723,40,1.88
M,Forshaw,4.8,4.8,Leeds,0,0,0,0,0,0,0,0
D,Dallas,5.3,5.3,Leeds,88,2.623,85,3.495,86,3.076,84,3.96
D,Alioski,4.3,4.3,Leeds,72,2.063,70,2.779,70,2.425,70,3.193
F,Bamford,6.4,6.4,Leeds,78,4.519,75,5.041,77,5.019,76,5.611
M,Harrison,5.4,5.4,Leeds,74,3.123,71,3.428,70,3.251,69,3.612
M,Phillips,4.9,4.9,Leeds,39,1.272,79,2.643,79,2.53,76,2.753
M,Costa,5.0,5.0,Leeds,25,1.044,39,1.795,30,1.352,19,0.953
M,Roberts,4.6,4.6,Leeds,59,2.237,58,2.463,58,2.386,57,2.605
M,Grot,4.7,4.7,Leeds,0,0,0,0,0,0,0,0
G,Miazek,4.0,4.0,Leeds,0,0,0,0,0,0,0,0
M,Poveda-Ocampo,4.2,4.2,Leeds,30,1.231,20,0.921,17,0.763,15,0.743
M,Shackleton,4.8,4.8,Leeds,3,0.098,4,0.137,5,0.167,5,0.179
D,Struijk,4.0,4.0,Leeds,31,0.842,31,1.148,31,1.004,31,1.308
M,Stevens,4.3,4.3,Leeds,0,0,0,0,0,0,0,0
G,Meslier,4.7,4.7,Leeds,88,3.321,87,3.635,88,3.497,87,3.799
D,Davis,3.8,3.8,Leeds,0,0,0,0,1,0.031,0,0
D,Casey,3.8,3.8,Leeds,0,0,0,0,1,0.031,1,0.04
D,Morgan,4.4,4.4,Leicester,0,0,0,0,0,0,0,0
G,Schmeichel,5.4,5.4,Leicester,88,7.45,0,0,89,3.302,86,3.443
D,Fuchs,4.5,4.5,Leicester,0,0,0,0,0,0,0,0
D,Evans,5.6,5.6,Leicester,83,6.199,0,0,81,2.022,80,2.643
M,Silva,4.4,4.4,Leicester,0,0,0,0,0,0,0,0
M,Albrighton,5.2,5.2,Leicester,31,2.585,0,0,35,1.206,36,1.41
M,James,4.3,4.3,Leicester,0,0,0,0,0,0,0,0
G,Ward,4.3,4.3,Leicester,0,0,0,0,0,0,0,0
F,Vardy,10.3,10.3,Leicester,79,9.852,0,0,87,3.923,79,4.6
M,Praet,5.2,5.2,Leicester,19,1.557,0,0,26,0.904,23,0.896
D,Pereira,5.9,5.9,Leicester,37,3.156,0,0,35,1.013,34,1.302
D,Amartey,3.9,3.9,Leicester,10,0.748,0,0,17,0.446,22,0.739
M,Tielemans,6.4,6.4,Leicester,84,6.663,0,0,81,2.61,80,2.993
M,Pérez,6.0,6.0,Leicester,47,4.395,0,0,51,1.92,47,2.08
M,Gray,5.1,5.1,Leicester,0,0,0,0,0,0,0,0
M,Maddison,7.3,7.3,Leicester,74,7.581,0,0,70,2.754,72,3.478
D,Chilwell,5.9,5.9,Chelsea,61,4.942,0,0,60,2.926,60,3.05
F,Iheanacho,6.3,6.0,Leicester,79,8.859,0,0,85,3.58,80,4.268
M,Choudhury,4.6,4.6,Leicester,3,0.198,0,0,4,0.118,5,0.158
M,Barnes,6.6,6.6,Leicester,0,0,0,0,0,0,0,0
M,Ndidi,4.8,4.8,Leicester,83,5.189,0,0,82,2.189,79,2.363
D,Benkovic,4.3,4.3,Leicester,0,0,0,0,0,0,0,0
D,Söyüncü,5.3,5.3,Leicester,85,6.016,0,0,82,1.946,81,2.517
D,Justin,4.8,4.8,Leicester,0,0,0,0,0,0,0,0
D,Thomas,4.1,4.1,Leicester,24,1.999,0,0,17,0.49,26,0.974
M,Milner,5.3,5.3,Liverpool,46,3.919,47,2.134,47,2.116,45,2.136
D,Tsimikas,4.9,4.9,Liverpool,2,0.171,5,0.255,6,0.303,6,0.334
M,Wijnaldum,5.3,5.3,Liverpool,56,4.338,58,2.365,59,2.39,48,2.056
M,Henderson,5.4,5.4,Liverpool,0,0,0,0,0,0,37,1.525
G,Adrián,4.2,4.2,Liverpool,0,0,0,0,1,0.045,0,0
D,Matip,5.4,5.4,Liverpool,0,0,0,0,0,0,0,0
M,Shaqiri,6.4,6.4,Liverpool,9,0.927,10,0.545,10,0.539,11,0.622
M,Chamberlain,6.3,6.3,Liverpool,3,0.275,4,0.192,4,0.19,4,0.199
F,Firmino,9.0,9.0,Liverpool,69,7.273,67,3.695,68,3.707,68,3.85
D,van Dijk,6.2,6.2,Liverpool,0,0,0,0,0,0,0,0
M,Mané,11.7,11.7,Liverpool,74,10.2,72,5.331,74,5.393,73,5.677
G,Alisson,5.9,5.9,Liverpool,89,7.706,87,4.102,88,4.133,87,4.362
M,Fabinho,5.4,5.4,Liverpool,72,4.448,72,2.36,72,2.354,69,2.383
M,Salah,12.7,12.4,Liverpool,79,12.53,77,6.549,78,6.537,77,6.875
D,Robertson,7.1,7.1,Liverpool,85,7.771,82,4.457,84,4.512,83,4.961
F,Origi,5.1,5.1,Liverpool,0,0,0,0,0,0,0,0
M,Harry Wilson,5.1,5.1,Liverpool,0,0,0,0,0,0,0,0
M,Minamino,6.0,6.0,Southampton,11,0.984,22,1.059,23,1.134,23,1.032
D,Alexander-Arnold,7.6,7.4,Liverpool,84,8.481,81,4.825,83,4.882,82,5.367
