rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.9,0.2,93.73
2,3,Liverpool,Barclays Premier League,2.92,0.25,93.15
3,2,Bayern Munich,German Bundesliga,3.62,0.56,93.08
4,4,Chelsea,Barclays Premier League,2.39,0.29,88.69
5,6,Real Madrid,Spanish Primera Division,2.58,0.5,86.63
6,5,Ajax,Dutch Eredivisie,3.02,0.74,86.49
7,9,Barcelona,Spanish Primera Division,2.48,0.54,84.77
8,7,Paris Saint-Germain,French Ligue 1,2.6,0.67,83.52
9,8,Internazionale,Italy Serie A,2.47,0.61,83.12
10,10,RB Leipzig,German Bundesliga,2.63,0.72,82.91
11,12,Arsenal,Barclays Premier League,2.16,0.46,82.65
12,11,Villarreal,Spanish Primera Division,2.29,0.56,82.13
13,13,Borussia Dortmund,German Bundesliga,2.61,0.8,81.2
14,15,Tottenham Hotspur,Barclays Premier League,2.34,0.67,80.29
15,14,Atletico Madrid,Spanish Primera Division,2.18,0.58,80.16
16,17,FC Porto,Portuguese Liga,2.32,0.71,79.31
17,18,Manchester United,Barclays Premier League,2.19,0.67,78.34
18,16,Atalanta,Italy Serie A,2.16,0.66,78.18
19,19,Bayer Leverkusen,German Bundesliga,2.43,0.87,77.51
20,23,Athletic Bilbao,Spanish Primera Division,1.94,0.56,77.07
21,20,Napoli,Italy Serie A,2.06,0.66,76.68
22,22,AC Milan,Italy Serie A,2.04,0.66,76.32
23,24,FC Salzburg,Austrian T-Mobile Bundesliga,2.22,0.79,76.24
24,21,Aston Villa,Barclays Premier League,1.99,0.63,76.17
25,28,Sporting CP,Portuguese Liga,1.96,0.64,75.59
26,36,Mainz,German Bundesliga,2.06,0.71,75.42
27,30,West Ham United,Barclays Premier League,2.04,0.71,75.25
28,37,PSV,Dutch Eredivisie,2.42,0.98,74.96
29,29,Benfica,Portuguese Liga,2.18,0.82,74.92
30,25,Sevilla FC,Spanish Primera Division,1.71,0.5,74.73
31,31,TSG Hoffenheim,German Bundesliga,2.27,0.9,74.4
32,32,Lazio,Italy Serie A,2.1,0.79,74.25
33,27,Brighton and Hove Albion,Barclays Premier League,1.85,0.62,74.19
34,34,Real Sociedad,Spanish Primera Division,1.8,0.6,73.84
35,38,Stade Rennes,French Ligue 1,2.01,0.75,73.83
36,35,Celta Vigo,Spanish Primera Division,1.89,0.67,73.6
37,26,Juventus,Italy Serie A,2.0,0.76,73.47
38,41,Crystal Palace,Barclays Premier League,1.89,0.69,73.11
39,43,Real Betis,Spanish Primera Division,1.98,0.77,72.93
40,33,Feyenoord,Dutch Eredivisie,2.25,0.96,72.87
41,39,Wolverhampton,Barclays Premier League,1.73,0.61,72.2
42,40,AS Roma,Italy Serie A,1.99,0.8,72.16
43,42,Lyon,French Ligue 1,1.99,0.81,72.02
44,44,AS Monaco,French Ligue 1,1.81,0.69,71.64
45,49,Fiorentina,Italy Serie A,1.9,0.79,70.83
46,51,Lille,French Ligue 1,1.72,0.66,70.8
47,46,Zenit St Petersburg,Russian Premier Liga,2.13,0.98,70.41
48,45,Osasuna,Spanish Primera Division,1.65,0.64,69.94
49,48,SC Freiburg,German Bundesliga,2.04,0.94,69.92
50,53,Strasbourg,French Ligue 1,1.83,0.79,69.61
51,55,FC Cologne,German Bundesliga,1.94,0.88,69.49
52,47,Leicester City,Barclays Premier League,2.05,0.97,69.42
53,52,Eintracht Frankfurt,German Bundesliga,2.02,0.95,69.27
54,50,Southampton,Barclays Premier League,1.94,0.89,69.24
55,54,1. FC Union Berlin,German Bundesliga,1.82,0.81,68.89
