,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,,,80201,0,0,-1,1,0,1,2.0,2.0,0,Bernd,1.0,1,False,,,49,80201.jpg,1.3,Leno,1.7,False,,a,1,3,4,46183,3032,93983,17021,0.2,0.8,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,77,14,515,52,488,50,207,15,,,,,,
1,0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,2,False,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,115918.jpg,0.0,Rúnarsson,1.1,False,,u,1,3,0,19017,0,37911,5548,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,382,35,373,17,315,14,390,35,,,,,,
2,0.0,0.0,47431,0,0,-2,2,0,3,0.0,0.0,0,Willian,0.0,3,False,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,47431.jpg,0.0,Borges Da Silva,0.1,False,,u,1,3,0,914,0,18225,805,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,592,241,591,241,589,241,592,241,,,,,,
3,100.0,100.0,54694,0,0,-1,1,0,4,4.7,4.7,9,Pierre-Emerick,3.7,4,False,,2021-08-13T14:30:14.477664Z,99,54694.jpg,3.7,Aubameyang,2.2,False,,a,1,3,11,131573,25287,181885,14498,0.4,1.1,Aubameyang,177,1,0,1,4,0,0,0,0,0,0,3,35,40.8,25.2,122.0,18.7,191,21,165,24,30,11,78,18,,,,,1.0,
4,,,58822,0,0,-1,1,0,2,1.3,1.3,1,Cédric,0.3,5,False,,,44,58822.jpg,0.3,Soares,0.2,False,,a,1,3,1,8198,643,13379,1523,0.1,0.2,Cédric,188,0,0,0,7,0,0,0,1,0,0,0,21,30.8,36.1,1.0,6.8,218,87,121,24,293,98,225,72,,,5.0,,,
5,100.0,100.0,59966,0,0,-1,1,0,4,1.3,1.3,0,Alexandre,0.3,6,False,,2021-08-13T14:30:14.582063Z,84,59966.jpg,1.0,Lacazette,1.1,False,,a,1,3,1,16565,1748,127199,6915,0.0,0.1,Lacazette,31,0,0,0,1,0,0,0,0,0,0,0,-1,1.0,0.3,0.0,0.1,358,46,345,50,598,83,372,51,,,3.0,,2.0,
6,0.0,0.0,84450,0,0,-1,1,0,3,0.0,0.0,0,Granit,0.0,7,False,Suspended until 26 Sep,2021-08-28T14:30:16.120624Z,49,84450.jpg,0.7,Xhaka,0.5,False,,s,1,3,2,14415,247,60366,4802,0.0,0.4,Xhaka,214,0,0,0,9,0,0,0,0,1,0,0,20,33.2,51.0,9.0,9.3,214,84,87,52,221,118,176,84,,,4.0,,,
7,,,92371,0,0,-1,1,0,2,1.0,1.0,0,Pablo,0.0,8,False,,,44,92371.jpg,0.5,Marí,0.1,False,,a,1,3,1,4232,197,8191,1061,0.0,0.2,Marí,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,140,57,222,70,208,52,206,65,,,,,,
8,0.0,0.0,98745,0,0,-2,2,0,2,0.0,0.0,0,Héctor,0.0,9,False,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,98745.jpg,0.0,Bellerín,0.4,False,,u,1,3,0,3737,0,58473,4511,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,516,192,512,191,482,182,520,191,,,,,,
9,,,101184,0,0,-1,1,0,2,1.0,1.0,0,Calum,0.0,10,False,,,44,101184.jpg,0.5,Chambers,0.3,False,,a,1,3,1,6687,367,17907,2344,0.0,0.2,Chambers,170,0,0,0,7,0,0,0,0,0,0,0,27,45.4,17.2,12.0,7.5,171,71,188,54,201,48,212,66,,,,,,
