Pos,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,Özil,6.7,6.7,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.4,5.4,Arsenal,0,0,0,0,37,1.635,55,2.676,71,1.82
M,Aubameyang,11.3,11.3,Arsenal,0,0,15,1.004,33,2.32,46,3.511,68,3.28
D,Cédric,4.6,4.6,Arsenal,56,2.596,56,2.357,50,2.34,56,2.898,60,1.631
F,Lacazette,8.3,8.3,Arsenal,76,4.83,74,4.743,73,4.955,73,5.41,72,3.467
D,Mustafi,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Leno,5.0,5.0,Arsenal,87,4.014,86,3.775,85,3.938,85,4.147,84,3.156
M,Xhaka,5.2,5.2,Arsenal,78,2.529,75,2.334,74,2.421,74,2.571,72,1.908
D,Marí,4.4,4.4,Arsenal,64,2.803,64,2.521,52,2.287,39,1.887,36,0.941
D,Bellerín,5.0,5.0,Arsenal,2,0.092,9,0.378,17,0.794,13,0.666,18,0.5
G,Martínez,5.4,5.4,Aston Villa,87,3.06,86,3.921,85,3.3,85,3.131,84,3.7
D,Chambers,4.5,4.5,Arsenal,68,3.208,59,2.561,59,2.852,58,3.105,58,1.617
D,Kolasinac,4.8,4.8,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Maitland-Niles,4.6,4.6,West Brom,52,1.285,75,1.963,76,2.574,73,1.542,74,1.399
D,Holding,4.2,4.2,Arsenal,78,3.458,73,2.936,76,3.392,69,3.382,69,1.807
D,Tierney,5.2,5.2,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Pépé,7.6,7.6,Arsenal,61,3.723,57,3.454,57,3.667,57,4.003,57,2.611
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Willock,4.7,4.7,Newcastle,42,1.563,42,1.33,41,1.418,42,1.395,44,1.36
M,Nelson,5.1,5.1,Arsenal,0,0,0,0,1,0.048,1,0.051,1,0.039
F,Nketiah,5.3,5.3,Arsenal,7,0.416,7,0.417,8,0.496,7,0.466,8,0.384
M,Smith Rowe,4.2,4.2,Arsenal,64,3.088,64,3.051,63,3.175,63,3.427,63,2.384
M,Saka,5.1,5.1,Arsenal,70,3.506,70,3.488,69,3.627,69,3.92,67,2.626
M,Guendouzi,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Martinelli,4.9,4.9,Arsenal,25,1.377,18,0.998,18,1.051,19,1.19,19,0.835
D,Saliba,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Heaton,4.5,4.5,Aston Villa,1,0.035,1,0.045,1,0.038,2,0.073,2,0.087
D,El Mohamady,4.3,4.3,Aston Villa,9,0.193,11,0.536,13,0.438,14,0.408,15,0.67
M,Lansbury,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Taylor,4.2,4.2,Aston Villa,0,0,0,0,1,0.029,1,0.026,2,0.076
G,Steer,3.9,3.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Hourihane,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Jota,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
G,Nyland,4.0,4.0,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Engels,4.4,4.4,Aston Villa,0,0,0,0,1,0.032,1,0.027,2,0.082
M,Grealish,7.5,7.5,Aston Villa,0,0,41,2.509,60,2.823,80,3.465,77,4.077
M,McGinn,5.5,5.5,Aston Villa,80,2.358,79,3.292,78,2.655,76,2.525,77,2.953
D,Hause,4.4,4.4,Aston Villa,10,0.205,14,0.651,15,0.485,17,0.475,18,0.766
M,Trézéguet,5.2,5.2,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Mings,5.4,5.4,Aston Villa,84,1.448,82,3.613,81,2.388,80,1.993,79,3.181
D,Targett,5.0,5.0,Aston Villa,83,1.596,81,3.889,81,2.606,80,2.191,78,3.404
D,Bree,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Nakamba,4.3,4.3,Aston Villa,32,0.92,32,1.129,31,0.969,32,0.976,32,1.073
M,El Ghazi,5.2,5.2,Aston Villa,70,2.941,54,3.761,49,2.658,41,2.144,37,2.316
D,Konsa,4.7,4.7,Aston Villa,84,1.456,83,3.649,82,2.418,80,1.996,80,3.217
D,Guilbert,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Wesley,6.0,6.0,Aston Villa,4,0.179,9,0.558,10,0.516,13,0.65,13,0.729
F,Samatta,5.9,5.9,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Davis,4.2,4.2,Aston Villa,20,0.787,12,0.637,10,0.456,9,0.402,10,0.491
F,Vassilev,4.3,4.3,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.8,4.8,Aston Villa,64,1.758,63,2.298,69,2.108,68,2.019,68,2.29
F,Murray,4.8,4.8,Brighton,0,0,0,0,0,0,0,0,0,0
M,Lallana,6.2,6.2,Brighton,65,2.137,65,2.737,64,2.532,64,2.357,64,2.481
M,Stephens,4.2,4.2,Burnley,3,0.091,3,0.094,4,0.128,4,0.126,5,0.161
G,Button,3.9,3.9,West Brom,0,0,0,0,0,0,1,0.035,0,0
M,Groß,5.8,5.8,Brighton,70,2.545,68,3.49,69,3.376,67,2.895,68,3.233
D,Duffy,4.3,4.3,Brighton,0,0,0,0,0,0,0,0,0,0
M,Pröpper,4.7,4.7,Brighton,7,0.229,10,0.382,10,0.364,8,0.281,10,0.361
M,Mooy,5.0,5.0,Brighton,0,0,0,0,0,0,0,0,0,0
D,Burn,4.2,4.2,Brighton,50,1.203,51,2.426,51,1.856,52,1.939,52,1.958
D,Dunk,5.0,5.0,Brighton,83,2.005,82,4.101,81,3.042,79,3.005,78,3.029
D,Montoya,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
F,Andone,4.8,4.8,Brighton,0,0,3,0.17,5,0.28,8,0.395,7,0.377
M,March,4.9,4.9,Brighton,0,0,0,0,0,0,0,0,0,0
D,Webster,4.3,4.3,Brighton,75,1.764,79,3.634,76,2.624,77,2.791,78,2.82
D,Veltman,4.4,4.4,Brighton,77,1.922,73,3.627,73,2.756,72,2.771,71,2.771
F,Maupay,6.0,6.0,Brighton,70,2.907,66,3.819,66,3.759,65,3.186,65,3.556
M,Trossard,5.7,5.7,Brighton,72,2.707,71,3.713,70,3.494,70,3.127,69,3.345
G,Ryan,4.1,4.1,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Jahanbakhsh,5.4,5.4,Brighton,14,0.544,15,0.76,16,0.783,15,0.655,16,0.757
M,Izquierdo,5.5,5.5,Brighton,1,0.039,1,0.05,2,0.098,2,0.087,2,0.095
D,Clarke,4.4,4.4,Brighton,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Brighton,76,1.761,75,3.355,75,2.482,74,2.598,73,2.545
D,Bernardo,3.9,3.9,Brighton,0,0,0,0,0,0,0,0,0,0
M,Bissouma,4.4,4.4,Brighton,75,1.989,74,2.469,73,2.274,72,2.168,71,2.216
D,Lamptey,4.6,4.6,Brighton,0,0,0,0,0,0,0,0,0,0
F,Connolly,5.2,5.2,Brighton,12,0.5,18,0.932,19,0.977,19,0.875,19,0.944
M,Alzate,4.2,4.2,Brighton,4,0.138,6,0.249,6,0.238,6,0.224,8,0.312
M,Mac Allister,5.3,5.3,Brighton,30,1.122,30,1.446,31,1.431,33,1.368,33,1.471
D,Tarkowski,5.3,5.3,Burnley,86,1.54,83,2.415,82,2.364,81,2.392,80,2.183
D,Bardsley,4.4,4.4,Burnley,2,0.037,3,0.086,4,0.114,3,0.087,4,0.108
D,Pieters,4.3,4.3,Burnley,40,0.771,40,1.191,41,1.204,41,1.235,41,1.14
M,Cork,5.0,5.0,Burnley,10,0.308,12,0.389,15,0.494,15,0.486,16,0.528
D,Long,4.3,4.3,Burnley,0,0,5,0.153,8,0.242,11,0.339,12,0.345
F,Rodriguez,5.8,5.8,Burnley,25,1.026,28,1.243,29,1.386,33,1.448,30,1.495
F,Barnes,6.0,6.0,Burnley,0,0,0,0,0,0,0,0,0,0
D,Mee,4.8,4.8,Burnley,85,1.525,84,2.446,82,2.357,81,2.391,79,2.142
M,Westwood,5.3,5.3,Burnley,81,2.217,79,2.365,78,2.418,77,2.325,76,2.384
M,Gudmundsson,5.4,5.4,Burnley,63,2.03,60,2.169,60,2.261,60,2.175,60,2.296
F,Wood,6.3,6.3,Burnley,84,3.539,77,3.795,76,4.167,75,3.732,74,4.256
D,Lowton,4.4,4.4,Burnley,84,1.544,82,2.465,81,2.402,80,2.437,79,2.219
F,Vydra,4.8,4.8,Burnley,63,2.452,59,2.581,55,2.656,51,2.269,47,2.409
D,Gibson,3.9,3.9,Burnley,0,0,0,0,0,0,0,0,0,0
M,Brady,5.0,5.0,Burnley,0,0,0,0,0,0,0,0,0,0
G,Pope,5.5,5.5,Burnley,33,1.203,89,3.566,88,3.482,88,3.53,87,3.382
D,Taylor,4.4,4.4,Burnley,54,1.001,57,1.721,56,1.66,56,1.715,54,1.513
M,Brownhill,4.9,4.9,Burnley,76,2.222,77,2.443,74,2.453,74,2.375,73,2.463
G,Peacock-Farrell,4.0,4.0,Burnley,24,0.85,0,0,1,0.038,1,0.039,2,0.075
M,McNeil,5.7,5.7,Burnley,65,2.07,75,2.556,75,2.688,76,2.596,76,2.757
G,Caballero,4.6,4.6,Chelsea,0,0,0,0,0,0,0,0,0,0
D,Azpilicueta,5.9,5.9,Chelsea,78,3.86,77,3.303,77,4.038,76,1.895,75,3.17
F,Giroud,6.7,6.7,Chelsea,7,0.471,7,0.455,8,0.542,8,0.395,8,0.504
D,Alonso,5.7,5.7,Chelsea,69,4.359,54,2.993,54,3.59,54,1.684,54,2.933
M,Jorginho,4.7,4.7,Chelsea,64,2.745,60,2.362,60,2.577,59,1.834,58,2.252
M,Barkley,5.8,5.8,Aston Villa,42,1.578,29,1.606,31,1.394,28,1.216,29,1.456
M,Kovacic,5.3,5.3,Chelsea,12,0.465,33,1.205,54,2.057,52,1.536,52,1.831
F,Batshuayi,5.7,5.7,Crystal Palace,0,0,9,0.368,10,0.386,10,0.488,11,0.511
D,Rüdiger,4.7,4.7,Chelsea,75,3.592,75,3.044,74,3.725,73,1.687,72,2.892
D,Zouma,5.3,5.3,Chelsea,32,1.582,34,1.458,33,1.719,34,0.866,34,1.437
D,Emerson,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0,1,0.042
G,Arrizabalaga,4.7,4.7,Chelsea,2,0.092,2,0.085,2,0.095,2,0.071,3,0.126
M,Kanté,4.9,4.9,Chelsea,61,2.119,55,1.818,53,1.893,53,1.464,54,1.767
M,Ziyech,7.9,7.9,Chelsea,42,2.264,42,2.146,42,2.311,42,1.635,43,2.138
M,Loftus-Cheek,5.9,5.9,Fulham,67,2.411,0,0,0,0,65,2.952,65,2.649
D,Christensen,4.7,4.7,Chelsea,31,1.412,23,0.907,29,1.404,31,0.736,33,1.292
F,Werner,9.2,9.2,Chelsea,62,3.689,62,3.569,61,3.68,61,2.651,60,3.36
F,Abraham,7.1,7.1,Chelsea,7,0.464,6,0.386,7,0.467,7,0.344,9,0.56
M,Pulisic,8.2,8.2,Chelsea,66,3.833,64,3.548,63,3.744,63,2.6,62,3.343
M,Mount,7.2,7.2,Chelsea,65,3.723,67,3.588,67,3.857,66,2.607,66,3.437
D,Tomori,4.7,4.7,Chelsea,0,0,0,0,0,0,0,0,0,0
M,Hudson-Odoi,5.7,5.7,Chelsea,30,1.5,29,1.378,30,1.529,30,1.141,31,1.442
D,James,5.0,5.0,Chelsea,59,3.456,59,3.034,58,3.565,63,1.855,58,2.926
M,Gilmour,4.3,4.3,Chelsea,1,0.038,1,0.037,1,0.038,1,0.032,1,0.036
D,Cahill,4.5,4.5,Crystal Palace,0,0,81,1.813,80,1.19,80,3.062,79,2.368
G,Hennessey,4.3,4.3,Crystal Palace,0,0,0,0,0,0,0,0,0,0
D,Sakho,4.4,4.4,Crystal Palace,0,0,0,0,0,0,0,0,0,0
G,Guaita,4.8,4.8,Crystal Palace,0,0,86,3.078,86,2.974,85,3.66,85,3.278
D,Tomkins,4.4,4.4,Crystal Palace,0,0,0,0,0,0,0,0,0,0
M,McArthur,5.2,5.2,Crystal Palace,0,0,0,0,0,0,0,0,0,0
M,McCarthy,4.3,4.3,Crystal Palace,0,0,30,0.878,27,0.764,29,0.961,28,0.887
F,Benteke,5.5,5.5,Crystal Palace,0,0,65,2.437,64,2.242,64,3.076,62,2.837
M,Kouyaté,4.8,4.8,Crystal Palace,0,0,75,2.017,75,1.917,74,2.293,72,2.116
D,Ward,4.3,4.3,Crystal Palace,0,0,73,1.568,59,0.848,48,1.788,36,1.051
D,Kelly,4.1,4.1,Crystal Palace,0,0,1,0.024,1,0.017,0,0,0,0
F,Wickham,4.4,4.4,Crystal Palace,0,0,0,0,0,0,0,0,1,0.047
M,Townsend,5.5,5.5,Crystal Palace,0,0,31,1.075,33,1.074,34,1.383,33,1.276
M,Milivojevic,5.6,5.6,Crystal Palace,0,0,72,2.091,72,1.954,71,2.514,70,2.328
D,van Aanholt,5.4,5.4,Crystal Palace,0,0,67,1.799,65,1.214,64,2.945,63,2.301
F,Ayew,5.6,5.6,Crystal Palace,0,0,59,1.941,58,1.821,58,2.231,58,2.171
M,Zaha,7.1,7.1,Crystal Palace,0,0,76,2.784,74,2.492,74,3.527,73,3.219
M,Schlupp,5.3,5.3,Crystal Palace,0,0,41,1.384,41,1.301,42,1.678,41,1.557
M,Meyer,4.7,4.7,Crystal Palace,0,0,0,0,0,0,0,0,0,0
M,Riedewald,4.4,4.4,Crystal Palace,0,0,42,1.241,44,1.237,43,1.439,46,1.456
D,Ferguson,3.8,3.8,Crystal Palace,0,0,7,0.164,14,0.222,16,0.622,20,0.615
D,Mitchell,3.8,3.8,Crystal Palace,0,0,22,0.492,22,0.334,22,0.822,23,0.678
M,Pierrick,4.3,4.3,Crystal Palace,0,0,0,0,0,0,0,0,0,0
M,Walcott,5.8,5.8,Southampton,60,2.324,0,0,59,2.376,60,2.151,60,2.646
M,Delph,4.8,4.8,Everton,0,0,10,0.297,10,0.32,11,0.337,11,0.382
M,Sigurdsson,6.8,6.8,Everton,64,2.914,60,2.547,57,2.956,56,2.666,56,3.337
G,Lössl,4.3,4.3,Everton,0,0,0,0,0,0,0,0,0,0
D,Coleman,4.8,4.8,Everton,46,1.554,42,1.24,41,1.69,40,1.395,39,2.144
F,Tosun,6.0,6.0,Everton,0,0,0,0,0,0,0,0,0,0
M,Bernard,5.7,5.7,Everton,0,0,10,0.388,12,0.534,13,0.538,14,0.704
D,Digne,6.2,6.2,Everton,82,2.961,80,2.539,82,3.677,84,3.19,82,4.919
D,Keane,5.1,5.1,Everton,75,2.361,73,2.047,73,2.815,72,2.368,70,3.636
G,Pickford,4.8,4.8,Everton,83,3.194,84,3.125,83,3.432,83,3.232,83,3.994
M,André Gomes,5.3,5.3,Everton,61,1.788,60,1.72,59,1.908,58,1.767,58,2.125
M,Iwobi,5.9,5.9,Everton,48,1.916,43,1.618,43,1.861,41,1.662,42,2.055
D,Kenny,4.3,4.3,Everton,0,0,0,0,0,0,0,0,0,0
M,Gbamin,5.0,5.0,Everton,0,0,0,0,0,0,0,0,0,0
D,Mina,5.5,5.5,Everton,0,0,25,0.726,40,1.609,59,1.994,55,2.955
M,Davies,5.2,5.2,Everton,52,1.597,49,1.475,50,1.695,50,1.592,48,1.849
F,Calvert-Lewin,7.5,7.5,Everton,0,0,36,1.811,65,3.815,85,4.397,85,5.488
D,Holgate,4.8,4.8,Everton,72,2.13,69,1.81,68,2.474,67,2.073,66,3.282
F,Richarlison,7.9,7.9,Everton,85,4.103,87,3.766,79,4.314,79,3.917,74,4.633
G,Virgínia,4.3,4.3,Everton,0,0,0,0,0,0,0,0,0,0
M,Gordon,4.3,4.3,Everton,0,0,0,0,0,0,0,0,0,0
F,Kean,5.7,5.7,Everton,0,0,0,0,0,0,0,0,0,0
D,Branthwaite,3.9,3.9,Everton,0,0,0,0,0,0,0,0,0,0
G,Fabri,3.9,3.9,Fulham,0,0,0,0,0,0,0,0,0,0
M,McDonald,4.7,4.7,Fulham,0,0,0,0,0,0,0,0,0,0
D,Le Marchand,4.1,4.1,Fulham,0,0,0,0,0,0,0,0,0,0
M,Johansen,4.7,4.7,Fulham,0,0,0,0,0,0,0,0,0,0
M,Cairney,5.2,5.2,Fulham,0,0,0,0,0,0,0,0,0,0
D,Ream,4.2,4.2,Fulham,1,0.027,0,0,2,0.046,2,0.081,3,0.098
M,Knockaert,5.0,5.0,Fulham,0,0,0,0,0,0,0,0,0,0
D,Hector,4.1,4.1,Fulham,1,0.027,0,0,2,0.048,3,0.129,3,0.103
D,Christie,4.2,4.2,Fulham,0,0,0,0,0,0,0,0,0,0
M,Kebano,4.7,4.7,Fulham,0,0,0,0,0,0,0,0,0,0
F,Decordova-Reid,5.3,5.3,Fulham,55,2.051,0,0,59,2.054,54,2.436,53,2.271
D,Bryan,4.5,4.5,Fulham,1,0.03,0,0,3,0.077,3,0.145,3,0.115
G,Bettinelli,4.3,4.3,Fulham,0,0,0,0,0,0,0,0,0,0
F,Mitrović,5.5,5.5,Fulham,49,2.219,0,0,49,2.027,47,2.833,47,2.538
D,Mawson,4.3,4.3,Fulham,0,0,0,0,0,0,0,0,0,0
G,Rodák,4.3,4.3,Fulham,0,0,0,0,0,0,1,0.045,0,0
M,Cavaleiro,5.3,5.3,Fulham,58,2.395,0,0,61,2.315,56,3.029,57,2.755
M,Onomah,4.6,4.6,Fulham,9,0.321,0,0,14,0.475,11,0.464,11,0.425
M,Seri,4.6,4.6,Fulham,0,0,0,0,0,0,0,0,0,0
M,Kamara,4.8,4.8,Fulham,0,0,0,0,0,0,0,0,0,0
M,Anguissa,4.5,4.5,Fulham,47,1.52,0,0,53,1.607,49,1.899,47,1.653
D,Sessegnon,4.3,4.3,Fulham,0,0,0,0,0,0,0,0,0,0
M,Hernández,5.7,5.7,Leeds,7,0.301,7,0.308,7,0.314,7,0.328,8,0.403
G,Casilla,4.2,4.2,Leeds,0,0,1,0.036,1,0.038,1,0.038,1,0.041
D,Cooper,4.3,4.3,Leeds,0,0,0,0,0,0,63,1.864,58,2.213
D,Douglas,3.8,3.8,Leeds,0,0,0,0,0,0,0,0,0,0
D,Ayling,4.4,4.4,Leeds,84,1.841,82,2.104,80,2.47,79,2.376,79,3.061
M,Klich,5.2,5.2,Leeds,30,1.169,29,1.151,30,1.214,28,1.178,32,1.445
M,Forshaw,4.8,4.8,Leeds,2,0.063,5,0.161,8,0.261,11,0.361,12,0.41
D,Dallas,5.1,5.1,Leeds,81,1.958,87,2.43,86,2.867,85,2.777,84,3.552
D,Alioski,4.3,4.3,Leeds,70,1.679,66,1.815,68,2.22,64,2.062,64,2.647
