,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,996.0,1021.64,1030.71,1029.04,-59.25,509710,12616,272,1,14.1%
1,FplSimpson,971.0,1013.54,1031.86,1018.6,-78.64,886921,22059,269,226,7.5%
2,FplStatsdan,916.0,941.96,991.86,978.66,-84.79,2057717,484666,38931,25057,6%
3,FF_Trout,999.0,1012.86,1035.04,1028.33,-55.09,471489,22977,92,1,15.9%
4,dilksybab,1006.0,1044.37,1040.59,1017.06,-54.88,392855,2011,17,379,15.9%
5,theFPLkiwi,885.0,926.3,986.49,972.15,-107.12,2801573,746806,58746,47582,2.5%
6,jameso_12,927.0,908.64,970.74,945.62,-44.96,1795875,1102015,152193,251874,20.2%
7,api_kakayou,1053.0,987.88,994.66,988.42,34.79,81815,84704,28322,9389,77%
8,usafpl,954.0,937.82,974.93,956.35,-31.52,1212171,556723,118615,137462,27.3%
9,CazzaFPL,1003.0,995.76,1041.92,1012.23,-42.97,429632,55603,17,649,21.2%
10,PlanetosFPL,985.0,1018.01,1034.37,1018.86,-66.89,661786,15875,111,226,11.3%
11,analytic_fpl,956.0,967.35,1014.64,999.04,-67.44,1166962,196552,2885,2408,11.2%
12,rogue_wee,960.0,995.67,1001.86,985.95,-62.09,1086701,55808,13239,13060,12.8%
13,mtthwmn,1027.0,1026.95,1027.97,1019.17,-25.21,211148,8875,299,226,31.2%
14,cmusson32,1000.0,996.3,1000.08,1003.01,-27.76,458576,53878,15816,1346,29.7%
15,FPLstudent2,968.0,1009.77,1006.62,1017.72,-71.19,939936,26804,7274,226,9.9%
16,peterhandleson,909.0,924.81,961.29,946.73,-64.5,2224935,775682,253125,238914,12%
17,chrishp,989.0,997.53,990.28,982.31,-28.14,604111,50174,42582,17724,29.5%
18,plfantasy,1057.0,1007.32,994.01,977.32,37.57,70746,30676,34225,28895,78.7%
19,FPLmeta,1042.0,1007.35,1008.78,1006.51,6.75,124855,30655,5692,1079,55.5%
20,FplAuto,927.0,972.23,981.55,960.57,-72.08,1800926,169477,80899,110508,9.7%
21,NourEldin_z3r0,1051.0,1016.37,1006.97,990.62,19.58,90054,17913,6974,7029,65.9%
22,UkendtPerson45,907.0,999.32,1002.58,989.9,-117.79,2273926,46456,11951,7971,1.4%
23,MikkelTokvam,1052.0,1059.56,1027.87,1010.33,-6.15,84707,545,299,713,45%
24,Klaudioz,1018.0,950.2,937.05,922.82,54.68,284597,359175,657862,639860,87.7%
25,FantasianPL,899.0,963.98,972.22,960.75,-94.47,2459689,223705,138941,109574,4.4%
26,rama96ab,995.0,1014.36,983.49,978.73,-23.14,524887,20908,72258,24694,32.8%
27,FPL_LFE,1041.0,996.32,969.7,951.0,42.86,132037,53827,162236,194933,81.7%
28,_jtreble,1035.0,1029.17,1023.32,999.83,-9.21,164236,7574,672,1990,42.9%
29,DanielSaetre,1073.0,1004.78,1018.16,1006.59,35.06,34490,34590,1519,1079,77.2%
30,Sriniva43849177,812.0,841.52,863.01,856.3,-70.25,4374122,3089817,2785986,2581952,10.3%
31,FBinary01,1094.0,992.87,993.65,982.47,76.9,11269,64989,35232,17494,94.7%
32,FPL_Data,946.0,952.98,982.28,979.52,-54.75,1375219,323482,76920,22938,16%
33,FPL_ElStatto,961.0,915.09,955.37,943.91,-6.63,1073122,971127,327981,274891,44.6%
34,FplSigurd,992.0,1035.7,1018.79,1010.57,-56.28,563169,4670,1208,693,15.3%
