,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,516,Areola,54,1,45,7,3.727,False,1,1,3.727
1,232,Chilwell,8,2,58,7,4.186,False,1,1,4.186
2,255,Robertson,14,2,71,7,4.896,False,1,1,4.896
3,259,Alexander-Arnold,14,2,74,7,4.841,False,1,1,4.841
4,458,Boly,39,2,55,7,4.063,False,1,1,4.063
5,37,Grealish,7,3,73,7,4.828,False,1,1,4.828
6,254,Salah,14,3,124,7,7.454,True,2,1,14.908
7,390,Son,6,3,95,7,5.34,False,1,1,5.34
8,184,Mitrović,54,4,58,7,4.588,False,1,1,4.588
9,388,Kane,6,4,109,7,6.331,False,1,1,6.331
10,514,Watkins,7,4,60,7,4.365,False,1,1,4.365
11,417,Johnstone,35,1,45,7,3.606,False,0,0,0.0
12,470,Kilman,39,2,42,7,2.887,False,0,0,0.0
13,79,Alzate,36,3,45,7,2.129,False,0,0,0.0
14,364,Oriol Romeu,20,3,45,7,2.164,False,0,0,0.0
