,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,mng_win,mng_draw,mng_loss,mng_underdog_win,mng_underdog_draw,mng_clean_sheets,mng_goals_scored,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,1,False,Has joined Portuguese side FC Porto on loan for the 2024/25 season,2024-08-29T11:06:25.241953Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,439,0,2808,1,0.0,0.0,Fábio Vieira,,,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,752,325,751,325,748,323,752,325,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,133,79,738,317,752,325,686,287,0.0,0.0
1,True,True,0.0,0.0,205651,0,0,-4,4,2,4,0.0,0.0,0,Gabriel,0.4,2,False,Knee injury - Unknown return date,2025-01-12T22:00:07.802845Z,66,205651.jpg,2.5,False,Fernando de Jesus,1.3,False,,i,1,3,42,1237461,30,1381830,3344,0.1,6.4,G.Jesus,30.0,2022-07-04,False,p205651,600,3,2,2,5,0,0,0,4,0,0,6,152,154.4,119.5,255.0,52.6,6,3.05,0.52,3.57,5.82,0,0,0,0,0,0,0,274,26,210,25,82,26,200,26,,,,,,,0.46,0.0,0.08,0.54,0.87,0.75,40,19,366,40,199,24,181,31,0.9,0.3
2,True,True,100.0,100.0,226597,-1,1,3,-3,2,2,3.1,2.6,2,Gabriel,2.6,3,True,,2024-11-27T10:30:06.325759Z,63,226597.jpg,4.3,False,dos Santos Magalhães,27.6,False,,a,1,3,94,4230422,22920,2799758,8099,0.4,14.9,Gabriel,30.0,2020-09-01,False,p226597,1898,3,2,7,20,0,0,0,3,0,0,8,354,496.4,170.8,272.0,94.0,22,2.56,1.03,3.59,19.52,0,0,0,0,0,0,0,45,14,163,36,75,3,83,13,,,,,,,0.12,0.0,0.05,0.17,0.93,0.95,53,3,134,36,40,4,9,3,1.04,0.33
3,True,True,100.0,100.0,219847,0,0,-2,2,1,4,4.9,4.4,12,Kai,4.4,4,False,,2025-01-02T08:00:08.350130Z,78,219847.jpg,4.6,False,Havertz,7.6,False,,a,1,3,96,2541505,13816,3276338,4517,0.6,12.3,Havertz,80.0,2023-06-28,False,p219847,1839,9,3,7,20,0,0,0,4,0,0,14,340,467.2,256.9,701.0,142.6,21,9.40,1.63,11.03,19.00,0,0,0,0,0,0,0,55,8,101,10,8,5,23,7,,,,,3.0,,0.46,0.0,0.08,0.54,0.93,0.98,13,4,54,10,28,9,48,10,1.03,0.34
4,True,False,0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,5,False,Loaned to Real Valladolid,2024-08-14T08:31:46.556082Z,40,463748.jpg,0.0,False,Hein,0.0,False,,u,1,3,0,0,0,4410,10,0.0,0.0,Hein,,,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,572,63,554,45,515,31,572,63,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,645,54,482,55,578,63,605,69,0.0,0.0
5,True,True,100.0,100.0,445122,0,0,1,-1,2,2,2.3,1.8,1,Jurriën,1.8,6,False,,2025-01-12T22:00:07.815228Z,56,445122.jpg,3.5,False,Timber,4.3,False,,a,1,3,73,1226194,4491,897238,2960,0.3,13.0,J.Timber,152.0,2023-07-14,False,p445122,1755,1,1,7,16,0,0,0,7,0,0,5,272,274.2,221.9,187.0,68.1,20,0.76,1.01,1.77,15.51,0,0,0,0,0,0,0,172,64,126,26,121,9,132,34,,,,,,,0.04,0.0,0.05,0.09,0.8,0.82,100,10,203,60,95,21,85,30,1.03,0.36
6,True,True,100.0,100.0,85955,0,0,-3,3,0,3,0.9,0.4,0,Jorge Luiz,0.4,7,False,,2025-01-12T22:00:07.826638Z,47,85955.jpg,1.3,False,Frello Filho,0.2,False,,a,1,3,13,29162,134,46430,184,0.1,2.8,Jorginho,106.0,2023-01-31,False,p85955,456,0,0,1,5,0,0,0,3,0,0,0,82,35.8,64.7,3.0,10.4,6,0.04,0.47,0.51,4.27,0,0,0,0,0,0,0,398,179,286,174,422,222,387,189,,,,,,,0.01,0.0,0.09,0.1,0.84,0.99,323,209,355,168,380,179,343,110,1.18,0.2
7,True,True,,,440854,0,0,-2,2,0,2,0.5,0.0,0,Jakub,0.0,8,False,,,48,440854.jpg,1.6,False,Kiwior,0.2,False,,a,1,3,13,25266,72,35542,114,0.0,2.7,Kiwior,172.0,2023-01-23,False,p440854,323,0,0,1,5,0,0,0,0,0,0,0,39,49.2,13.7,0.0,6.3,2,0.00,0.03,0.03,4.45,0,0,0,0,0,0,0,385,133,397,137,712,250,417,140,,,,,,,0.0,0.0,0.01,0.01,1.24,1.39,314,40,691,242,336,107,386,132,0.56,0.28
8,True,True,100.0,100.0,444145,0,0,-3,3,1,3,3.9,3.4,5,Gabriel,3.4,9,False,,2024-10-18T16:00:06.884775Z,67,444145.jpg,4.0,False,Martinelli Silva,3.4,False,,a,1,3,89,1108057,7036,1095803,3079,0.5,13.3,Martinelli,30.0,2019-07-15,False,p444145,1452,6,3,7,15,0,0,0,1,0,0,6,284,389.4,357.1,570.0,131.6,16,4.04,2.97,7.01,14.75,0,0,0,0,0,0,0,101,36,62,48,24,13,35,24,,,,,,,0.25,0.0,0.18,0.43,0.91,0.93,38,19,88,38,57,29,98,29,0.99,0.43
9,True,True,100.0,100.0,499175,0,0,0,0,0,3,3.1,2.6,6,Ethan,2.6,12,False,,2025-01-04T22:00:06.872110Z,45,499175.jpg,2.1,False,Nwaneri,0.6,False,,a,1,3,30,145474,4992,105595,649,0.6,6.7,Nwaneri,241.0,2022-09-17,False,p499175,281,3,0,0,1,0,0,0,1,0,0,1,110,136.8,82.0,80.0,29.9,3,0.56,0.43,0.99,2.04,0,0,0,0,0,0,0,291,129,257,159,230,130,291,147,,,,,,,0.18,0.0,0.14,0.32,0.65,0.32,420,261,129,54,261,114,243,74,0.96,0.0
