,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,,,80201,0,0,-1,1,0,1,0.8,1.8,0,Bernd,0.8,1,False,,,49,80201.jpg,1.3,Leno,1.5,False,,a,1,3,4,48868,895,112467,6836,0.2,0.8,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,115,16,532,53,511,51,242,18,,,,,,
1,0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,2,False,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,115918.jpg,0.0,Rúnarsson,1.0,False,,u,1,3,0,19017,0,42653,1625,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,401,37,388,17,337,14,410,37,,,,,,
2,0.0,0.0,47431,0,0,-2,2,0,3,0.0,0.0,0,Willian,0.0,3,False,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,47431.jpg,0.0,Borges Da Silva,0.1,False,,u,1,3,0,914,0,18767,239,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,600,245,599,245,597,245,600,245,,,,,,
3,100.0,100.0,54694,0,0,-1,1,0,4,3.2,4.2,2,Pierre-Emerick,3.2,4,False,,2021-08-13T14:30:14.477664Z,99,54694.jpg,3.2,Aubameyang,2.2,False,,a,1,3,13,158381,2914,206490,11489,0.3,1.3,Aubameyang,267,1,0,2,4,0,0,0,0,0,0,3,41,48.0,62.6,140.0,25.0,200,20,89,14,38,16,64,18,,,,,1.0,
4,,,58822,0,0,-1,1,0,2,0.2,1.2,0,Cédric,0.2,5,False,,,44,58822.jpg,0.3,Soares,0.2,False,,a,1,3,1,8714,178,15077,689,0.0,0.2,Cédric,188,0,0,0,7,0,0,0,1,0,0,0,21,30.8,36.1,1.0,6.8,255,100,151,32,314,105,258,88,,,5.0,,,
5,100.0,100.0,59966,0,0,-1,1,0,4,0.2,1.2,0,Alexandre,0.2,6,False,,2021-08-13T14:30:14.582063Z,84,59966.jpg,1.0,Lacazette,1.1,False,,a,1,3,1,18243,513,134015,2270,0.0,0.1,Lacazette,31,0,0,0,1,0,0,0,0,0,0,0,-1,1.0,0.3,0.0,0.1,380,48,359,51,605,84,394,52,,,3.0,,2.0,
6,100.0,0.0,84450,0,0,-1,1,0,3,0.0,0.0,0,Granit,0.0,7,False,,2021-08-28T14:30:16.120624Z,49,84450.jpg,0.7,Xhaka,0.4,False,,a,1,3,2,14957,456,63828,929,0.0,0.4,Xhaka,214,0,0,0,9,0,0,0,0,1,0,0,20,33.2,51.0,9.0,9.3,249,100,113,69,249,135,217,106,,,4.0,,,
7,,,92371,0,0,-1,1,0,2,0.0,1.0,0,Pablo,0.0,8,False,,,44,92371.jpg,0.5,Marí,0.1,False,,a,1,3,1,4370,58,9160,353,0.0,0.2,Marí,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,177,71,253,81,231,60,240,77,,,,,,
8,0.0,0.0,98745,0,0,-2,2,0,2,0.0,0.0,0,Héctor,0.0,9,False,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,98745.jpg,0.0,Bellerín,0.3,False,,u,1,3,0,3737,0,61686,1254,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,196,529,196,505,189,539,196,,,,,,
9,,,101184,0,0,-1,1,0,2,0.0,1.0,0,Calum,0.0,10,False,,,44,101184.jpg,0.5,Chambers,0.3,False,,a,1,3,1,6945,118,20182,736,0.0,0.2,Chambers,170,0,0,0,7,0,0,0,0,0,0,0,27,45.4,17.2,12.0,7.5,210,85,217,66,228,57,247,82,,,,,,
